Date,Close,Volatility,MA_25,MA_100,Decline_Since_Last_Peak,Days_Since_Last_Peak,One_Week_Growth,RSI,Price_to_MA25,Price_to_MA100,Target
2024-07-24,26.600000381469727,0.07401545368170925,26.769999771118165,23.81619987487793,-0.8555682215022413,1,-0.057406058515321656,54.35539845843776,0.9936496305154306,1.1168868468192625,0
2024-07-25,26.6299991607666,0.07173578974045704,26.80239974975586,23.833199863433837,-0.8554053351494416,2,-0.07018157373314482,45.86776826935531,0.9935677181670709,1.1173488794353528,0
2024-07-26,27.18000030517578,0.021111099808304397,26.867199783325194,23.864599857330322,-0.8524189576184789,3,-0.048985291192006786,46.45776446387941,1.011642468302362,1.1389254572742016,0
2024-07-29,27.079999923706055,0.03882437284320286,26.996799774169922,23.89729986190796,-0.8529619362928773,6,-0.04848907959099369,47.82609160887331,1.0030818523022027,1.133182413083885,0
2024-07-30,26.3700008392334,0.056880775941621275,27.085199813842774,23.899399871826173,-0.8568170652038378,7,-0.08469276889759814,34.94861362950165,0.9735944730138616,1.103375021157736,0
2024-07-31,26.889999389648438,0.018874915627001675,27.178399810791017,23.90369987487793,-0.8539935947385885,8,0.010902218196234825,44.27480849343901,0.9893886165796976,1.1249304304522756,0
2024-08-01,26.079999923706055,0.0631014024730024,27.25759979248047,23.90409986495972,-0.8583917023239475,9,-0.0206533704240911,35.642133974070504,0.9567973747600741,1.0910262285983803,0
2024-08-02,24.739999771118164,0.045252559160945394,27.238399810791016,23.897999858856203,-0.8656675896340981,10,-0.08977190973735849,24.380695936227397,0.9082765486582269,1.0352330704341322,0
2024-08-05,24.09000015258789,0.14673415674528062,27.18879981994629,23.891899852752687,-0.8691969354830024,13,-0.11041358122385714,22.475954677533053,0.8860266106676378,1.0082915256240026,0
2024-08-06,26.59000015258789,0.0683918829444951,27.21719985961914,23.907799854278565,-0.8556225204053268,14,0.008342787499163729,42.1407925339327,0.9769557592160024,1.112189340493802,0
2024-08-07,26.31999969482422,0.07831551027459902,27.236799850463868,23.926699848175048,-0.8570885597192655,15,-0.021197460310975136,38.649705070077346,0.9663396522104988,1.1000263246429998,0
2024-08-08,29.280000686645508,0.09929731416542073,27.3739998626709,23.984599857330323,-0.8410164468819401,0,0.12269941611582347,52.6676860515525,1.0696281447189515,1.2207833718642078,0
2024-08-09,30.010000228881836,0.043032793693086116,27.48519989013672,24.04469985961914,-0.8370527201648085,0,0.213015380214997,55.64457906558794,1.0918603593511125,1.2480921119452553,0
2024-08-12,29.3799991607666,0.06386500162238246,27.552399826049804,24.1004998588562,-0.8404734785639986,3,0.2195931496335184,52.03426039654885,1.0663317658808387,1.21906181750709,0
2024-08-13,30.389999389648438,0.04330460689146476,27.672399826049805,24.158699855804443,-0.8349894136298428,0,0.14291083923482817,64.79312711235892,1.098206139716165,1.257931907388917,0
