Date,Portfolio_Value,Cash,Position_Value
2024-08-19,101518.49285797797,95303.85528144895,6214.637576529014
2024-08-20,101386.38135797149,95303.85528144895,6082.526076522533
2024-08-21,101370.13847047994,95303.85528144895,6066.283189030991
2024-08-22,101378.80148495307,95303.85528144895,6074.946203504125
2024-08-23,101502.24912362055,95303.85528144895,6198.393842171597
2024-08-26,101516.32699850145,95303.85528144895,6212.471717052496
2024-08-27,101458.93489812074,95303.85528144895,6155.079616671796
2024-08-28,101452.43731969119,95303.85528144895,6148.582038242243
2024-08-29,101499.00096955517,95303.85528144895,6195.145688106226
2024-08-30,101474.09464415757,95303.85528144895,6170.239362708611
2024-09-03,101303.00063760432,95303.85528144895,5999.145356155366
2024-09-04,101219.61864693834,95303.85528144895,5915.763365489386
2024-09-05,101123.24276971206,95303.85528144895,5819.387488263111
2024-09-06,100934.04492442778,92274.71318020659,8659.331744221194
2024-09-09,100959.0089269136,92274.71318020659,8684.295746707008
2024-09-10,100863.7435341115,92274.71318020659,8589.030353904915
2024-09-11,100741.73490048168,92274.71318020659,8467.021720275086
2024-09-12,100796.88998751706,92274.71318020659,8522.176807310478
2024-09-13,100806.9178893498,92274.71318020659,8532.204709143218
2024-09-16,100847.02949668076,92274.71318020659,8572.316316474176
2024-09-17,100975.72361512647,92274.71318020659,8701.010434919875
2024-09-18,100923.91159589007,92274.71318020659,8649.198415683482
2024-09-19,100970.7086880369,92274.71318020659,8695.995507830312
2024-09-20,100905.52700073303,92274.71318020659,8630.813820526439
2024-09-23,101005.80732062468,92274.71318020659,8731.094140418094
2024-09-24,101032.54925988815,92274.71318020659,8757.836079681574
2024-09-25,100818.61634890885,92274.71318020659,8543.903168702263
2024-09-26,100616.3845006171,92274.71318020659,8341.671320410516
2024-09-27,100803.57547233293,92274.71318020659,8528.862292126347
2024-09-30,100888.81296330229,92274.71318020659,8614.0997830957
2024-10-01,101174.6123956192,92274.71318020659,8899.899215412623
2024-10-02,101206.36861119012,92274.71318020659,8931.655430983536
2024-10-03,101431.99998172847,92274.71318020659,9157.286801521892
2024-10-04,101594.12022268926,92274.71318020659,9319.40704248268
2024-10-07,101619.18965188005,92274.71318020659,9344.476471673464
2024-10-08,101353.44667401073,92274.71318020659,9078.733493804151
2024-10-09,101283.2500596173,92274.71318020659,9008.536879410714
2024-10-10,101395.23014063225,92274.71318020659,9120.516960425673
2024-10-11,101426.98570542104,92274.71318020659,9152.272525214457
2024-10-14,101284.92126812573,92274.71318020659,9010.208087919149
2024-10-15,100892.15668188341,92274.71318020659,8617.44350167683
2024-10-16,100842.01522037333,92274.71318020659,8567.302040166742
2024-10-17,100918.89797036476,92274.71318020659,8644.184790158179
2024-10-18,100908.87006853202,92274.71318020659,8634.156888325439
2024-10-21,100935.61070623124,92274.71318020659,8660.897526024657
2024-10-22,100982.4084491602,92274.71318020659,8707.695268953616
2024-10-23,100852.0437729882,92274.71318020659,8577.33059278161
2024-10-24,100857.05804929564,92274.71318020659,8582.344869089045
2024-10-25,100895.49909890028,92274.71318020659,8620.785918693698
2024-10-28,100736.72127495636,92274.71318020659,8462.00809474978
2024-10-29,100644.79764838901,92274.71318020659,8370.08446818243
2024-10-30,100659.83982652919,92274.71318020659,8385.126646322604
2024-10-31,100649.81192469645,92274.71318020659,8375.098744489864
2024-11-01,100559.55820507328,92274.71318020659,8284.845024866689
2024-11-04,100725.02216461519,92274.71318020659,8450.308984408606
2024-11-05,100698.28087613384,92274.71318020659,8423.567695927257
2024-11-06,100863.7435341115,92274.71318020659,8589.030353904915
2024-11-07,100833.65917783116,92274.71318020659,8558.945997624567
2024-11-08,100720.00788830775,92274.71318020659,8445.294708101172
2024-11-11,100766.80563123671,92274.71318020659,8492.092451030128
2024-11-12,100679.89563019466,92274.71318020659,8405.182449988082
2024-11-13,100818.61634890885,92274.71318020659,8543.903168702263
2024-11-14,100743.40610899011,92274.71318020659,8468.692928783521
2024-11-15,100626.41240244985,92274.71318020659,8351.699222243255
2024-11-18,100783.5183671032,92274.71318020659,8508.805186896609
2024-11-19,100714.99361200033,92274.71318020659,8440.280431793737
2024-11-20,100783.5183671032,92274.71318020659,8508.805186896609
2024-11-21,100888.81296330229,92274.71318020659,8614.0997830957
2024-11-22,100953.99595217041,92274.71318020659,8679.282771963832
2024-11-25,100704.96571016758,92274.71318020659,8430.252529960997
2024-11-26,100606.35659878436,92274.71318020659,8331.643418577776
2024-11-27,100684.9099065021,92274.71318020659,8410.196726295517
2024-11-29,100728.36523241419,92274.71318020659,8453.652052207606
2024-12-02,100701.62264236859,92274.71318020659,8426.909462161997
2024-12-03,100698.28087613384,92274.71318020659,8423.567695927257
2024-12-04,100447.57877484044,92274.71318020659,8172.865594633858
2024-12-05,100377.38281122914,92274.71318020659,8102.66963102255
2024-12-06,100220.27684657578,92274.71318020659,7945.563666369197
2024-12-09,100417.49506934223,92274.71318020659,8142.781889135638
2024-12-10,100341.94316880552,92274.71318020659,8067.229988598933
2024-12-11,100412.45801566026,92274.71318020659,8137.744835453673
2024-12-12,100365.4481177571,92274.71318020659,8090.734937550514
2024-12-13,100273.10668906264,92274.71318020659,7998.393508856053
2024-12-16,100098.4992406019,92274.71318020659,7823.786060395322
2024-12-17,100091.78381980809,92274.71318020659,7817.070639601498
2024-12-18,100001.12140900761,92274.71318020659,7726.408228801026
2024-12-19,99890.31273582566,92274.71318020659,7615.599555619081
2024-12-20,100187.48263350839,92274.71318020659,7912.769453301806
2024-12-23,100306.68574537814,92274.71318020659,8031.9725651715635
2024-12-24,100353.69499249918,92274.71318020659,8078.9818122925935
2024-12-26,100367.12778643322,92274.71318020659,8092.414606226631
2024-12-27,100427.56787514189,92274.71318020659,8152.85469493531
2024-12-30,100410.77834698414,92274.71318020659,8136.065166777555
2024-12-31,100570.27658674537,92274.71318020659,8295.563406538779
2025-01-02,100637.43404859425,92274.71318020659,8362.720868387669
2025-01-03,100754.95814257002,92274.71318020659,8480.244962363438
2025-01-06,100798.61065546733,92274.71318020659,8523.897475260752
2025-01-07,100929.56624181289,92274.71318020659,8654.8530616063
2025-01-08,100869.12550232207,92274.71318020659,8594.412322115491
2025-01-10,100887.59339759169,92274.71318020659,8612.880217385105
2025-01-13,101119.2848513195,92274.71318020659,8844.571671112926
2025-01-14,101018.54963471937,92274.71318020659,8743.836454512782
2025-01-15,101112.79430726924,101112.79430726924,0.0
2025-01-16,101112.79430726924,101112.79430726924,0.0
2025-01-17,101112.79430726924,101112.79430726924,0.0
2025-01-21,101112.79430726924,101112.79430726924,0.0
2025-01-22,101112.79430726924,101112.79430726924,0.0
2025-01-23,101112.79430726924,101112.79430726924,0.0
2025-01-24,101112.79430726924,101112.79430726924,0.0
2025-01-27,101112.79430726924,101112.79430726924,0.0
2025-01-28,101112.79430726924,101112.79430726924,0.0
2025-01-29,101112.79430726924,101112.79430726924,0.0
2025-01-30,101112.79430726924,101112.79430726924,0.0
2025-01-31,101112.79430726924,101112.79430726924,0.0
2025-02-03,101112.79430726924,101112.79430726924,0.0
2025-02-04,101112.79430726924,101112.79430726924,0.0
2025-02-05,101112.79430726924,101112.79430726924,0.0
2025-02-06,101112.79430726924,101112.79430726924,0.0
2025-02-07,101112.79430726924,101112.79430726924,0.0
2025-02-10,101112.79430726924,101112.79430726924,0.0
2025-02-11,101112.79430726924,101112.79430726924,0.0
2025-02-12,101112.79430726924,101112.79430726924,0.0
2025-02-13,101112.79430726924,101112.79430726924,0.0
2025-02-14,101112.79430726924,101112.79430726924,0.0
2025-02-18,101112.79430726924,101112.79430726924,0.0
2025-02-19,101112.79430726924,101112.79430726924,0.0
