buy_size_pct,sell_base_pct,sell_formula,max_sell_pct,total_return,final_capital,sharpe_ratio,max_drawdown,num_trades,buy_trades,sell_trades,position_pct
0.02,50.0,cap,0.5,0.35676399940952225,135676.39994095222,1.1426143849833297,0.17428215257829652,61,35,26,56.46911435274077
0.02,50.0,cap,0.75,0.35676399940952225,135676.39994095222,1.1426143849833297,0.17428215257829652,61,35,26,56.46911435274077
0.02,50.0,div,0.75,0.35676399940952225,135676.39994095222,1.1426143849833297,0.17428215257829652,61,35,26,56.46911435274077
0.02,50.0,div,0.5,0.35676399940952225,135676.39994095222,1.1426143849833297,0.17428215257829652,61,35,26,56.46911435274077
0.02,75.0,div,0.5,0.34495138382285717,134495.13838228572,1.1832265698054867,0.1601382028395235,61,35,26,48.20825029599261
0.02,75.0,cap,0.5,0.34495138382285717,134495.13838228572,1.1832265698054867,0.1601382028395235,61,35,26,48.20825029599261
0.02,75.0,div,0.75,0.33994879484648993,133994.879484649,1.1804600156272251,0.158540433112199,61,35,26,47.95440352131317
0.02,75.0,div,1.0,0.33994879484648993,133994.879484649,1.1804600156272251,0.158540433112199,61,35,26,47.95440352131317
0.02,75.0,cap,0.75,0.33994879484648993,133994.879484649,1.1804600156272251,0.158540433112199,61,35,26,47.95440352131317
0.02,75.0,cap,1.0,0.33994879484648993,133994.879484649,1.1804600156272251,0.158540433112199,61,35,26,47.95440352131317
0.02,100.0,cap,0.5,0.33454249283409093,133454.2492834091,1.2244857804568743,0.14758116439872943,61,35,26,41.224902259996064
0.02,100.0,div,0.5,0.33454249283409093,133454.2492834091,1.2244857804568743,0.14758116439872943,61,35,26,41.224902259996064
0.02,100.0,div,0.75,0.3298157018846742,132981.57018846742,1.2203746090418461,0.14634264188642473,61,35,26,41.04783716899024
0.02,100.0,cap,0.75,0.3298157018846742,132981.57018846742,1.2203746090418461,0.14634264188642473,61,35,26,41.04783716899024
0.02,125.0,div,0.5,0.32533930126832245,132533.93012683225,1.2659359587818053,0.1364420181615331,61,35,26,35.31391307683355
0.02,125.0,cap,0.5,0.32533930126832245,132533.93012683225,1.2659359587818053,0.1364420181615331,61,35,26,35.31391307683355
0.02,100.0,div,1.0,0.3219011949770321,132190.1194977032,1.2373555465835853,0.1404697753547435,61,35,26,39.66710811131894
0.02,100.0,cap,1.0,0.3219011949770321,132190.1194977032,1.2373555465835853,0.1404697753547435,61,35,26,39.66710811131894
0.02,125.0,div,0.75,0.3208430104134342,132084.30104134342,1.2604132993030508,0.1354996742945404,61,35,26,35.19296785280451
0.02,125.0,cap,0.75,0.3208430104134342,132084.30104134342,1.2604132993030508,0.1354996742945404,61,35,26,35.19296785280451
0.02,150.0,div,0.5,0.31717373370305896,131717.3733703059,1.3071457241477877,0.12656731983873323,61,35,26,30.30258337779483
0.02,150.0,cap,0.5,0.31717373370305896,131717.3733703059,1.3071457241477877,0.12656731983873323,61,35,26,30.30258337779483
0.02,150.0,cap,0.75,0.3128703912703012,131287.03912703012,1.3001676849891093,0.1258670502181331,61,35,26,30.22207141336405
0.02,150.0,div,0.75,0.3128703912703012,131287.03912703012,1.3001676849891093,0.1258670502181331,61,35,26,30.22207141336405
0.02,125.0,div,1.0,0.31282210927553156,131282.21092755315,1.2811488737381058,0.12948740420123425,61,35,26,33.837717719166776
0.02,125.0,cap,1.0,0.31282210927553156,131282.21092755315,1.2811488737381058,0.12948740420123425,61,35,26,33.837717719166776
0.02,150.0,div,1.0,0.3048138713207646,130481.38713207646,1.3242882020862352,0.11984943674846935,61,35,26,28.92481254907834
0.02,150.0,cap,1.0,0.3048138713207646,130481.38713207646,1.3242882020862352,0.11984943674846935,61,35,26,28.92481254907834
